created_at,tweet,sentiment,likes,retweets,cleansing
23-Jan,"Kesebelasan Utama & Pemain Simpanan Harimau Malaya Separuh Akhir 1 Piala Mitsubishi Electric AFF 2022 | Sabtu, 7 Januari 2023 ⚽️ MALAYSIA ?? ?️ ?? THAILAND ? 8.30 malam...",Netral,183705,63,sebelas utama main simpan harimau malaya paruh piala mitsubishi electric aff sabtu januari malaysia thailand malam
23-Jan,"Operasi Stesen LRT Bukit Jalil akan dilanjutkan sehingga jam 12.30 tengah malam pada 7 Januari 2023 sempena Perlawanan Bola Sepak Piala Mitsubishi Electric AFF 2022, Malaysia menentang Thailand...",Netral,4130,603,operasi stesen lrt bukit jalil lanjut jam malam januari sempena lawan bola sepak piala mitsubishi electric aff malaysia tentang thailand
23-Jan,"1-0 belum lagi bekal selesa untuk #HarimauMalaya ke Thailand. Bagi golongan suami yang bakal ke Bangkok untuk menyokong Harimau Malaya, pastikan restu isteri diperolehi terlebih dahulu. Jangan...",Netral,146739,87,bekal selesa harimaumalaya thailand golong suami bangkok sokong harimau malaya pasti restu isteri oleh
23-Jan,"Mobil Honda Jazz Kecelakaan di Depan Hotel Tiara Medan, Sopir Tewas Tertancap Besi PagarTranslate post",Negatif,563702,264,mobil honda jazz celaka hotel tiara medan sopir tewas tancap besi pagartranslate post
23-Jan,"Terima kasih kepada 62, 989 orang penyokong yang hadir menyaksikan aksi perlawanan separuh akhir pertama Piala Mitsubishi Electric AFF 2022, Malaysia lwn Thailand di Stadium Nasional, Bukit...",Positif,183606,63,terima kasih orang sokong hadir saksi aksi lawan paruh piala mitsubishi electric aff malaysia lwn thailand stadium nasional bukit
23-Jan,10,Netral,153473,403,netral
23-Jan,Wow Honda Amaze 2023 Kembaran Brio dengan Pilihan Mesin Berturbo Charger Namun dengan Harga 100 Jutaan Baca selanjutnya di https://strategi.id/diatasroda/pr-1046479136/wow-honda-amaze-2023-kembaran...,Positif,144,181,wow honda amaze kembar brio pilih mesin berturbo charger harga juta baca
23-Jan,"Hari Perlawanan | Selasa, 10 Januari 2023 Separuh Akhir 2 • Piala Mitsubishi Electric AFF 2022 ⚽️ THAILAND ?? (0) ?️ (1) ?? MALAYSIA ? 7:30pm (TH) ? 8:30pm (MY)...",Netral,183521,63,lawan selasa januari paruh piala mitsubishi electric aff thailand malaysia pm th pm my
23-Jan,JUAL BMW E46 318I N42 TAUN 2002 SS LENGKAP OFF LAMA MESIN SEHAT HALUS MATIC SEHAT AC DINGIN POWER WINDOW DEPAN NORMAL BELAKANG OFF INTERIOR ORYGINAL RAPI HARGA 58 JUTA SAJA WA : 085692402419...,Netral,154218,403,jual bmw n taun ss lengkap off mesin sehat halus matic sehat ac dingin power window normal off interior oryginal rapi harga juta wa
23-Jan,"Keputusan Masa Penuh Separuh Akhir 2 Piala Mitsubishi Electric AFF 2022 | Selasa, 10 Januari 2023 THAILAND ?? 3-0 ?? MALAYSIA ⚽️ Teerasil Dangda 19' Bordin Phala 55' Adisak...",Netral,183630,63,putus penuh paruh piala mitsubishi electric aff selasa januari thailand malaysia teerasil dangda bordin phala adisak
23-Jan,"Kesebelasan Utama & Pemain Simpanan Harimau Malaya Separuh Akhir 2 Piala Mitsubishi Electric AFF 2022 | Selasa, 10 Januari 2023 ⚽️ THAILAND ?? (0) ?️ (1) ?? MALAYSIA ?...",Netral,183698,63,sebelas utama main simpan harimau malaya paruh piala mitsubishi electric aff selasa januari thailand malaysia
23-Jan,Perjuangan skuad Harimau Malaya pada Piala Mitsubishi Electric AFF 2022 berakhir di peringkat separuh akhir. Terima kasih kepada wira-wira Harimau Malaya yang telah berjuang untuk membawa nama...,Positif,183753,63,juang skuad harimau malaya piala mitsubishi electric aff peringkat paruh terima kasih wirawira harimau malaya juang bawa nama
23-Jan,"Perbedaan Toyota Hilux Tipe E dan G, Kamu Harus Tahu! https://idntimes.com/automotive/car/seo-intern/perbedaan-toyota-hilux-tipe-e-dan-g-kamu-harus-tahu?utm_source=twitter&utm_medium=twitter&utm_ca...",Netral,400829,297,beda toyota hilux tipe g
23-Jan,"Kecemasan itu kini tak perlu dihiraukan. Nikmati beragam layanan inovatif dari “Hyundai Hadir Untukmu” yang memberikan kenyamanan, ketenangan, dan kepuasan untuk seluruh pelanggan! #Hyundai...",Positif,16249,0,cemas hirau nikmat agam layan inovatif hyundai hadir untuk nyaman tenang puas langgan hyundai
23-Jan,"Promo yang paling ditunggu hadir untukmu! Untuk semua pemilik STNK Mitsubishi selain FUSO, nikmati diskon terbaik, sebesar 25% lhoo ? Promo bersama IP (Industry Partner) kami hanya berlaku...",Positif,76,47,promo tunggu hadir untuk milik stnk mitsubishi fuso nikmat diskon baik promo ip industry partner laku
23-Jan,"Sudah Murah Bahkan Seharga LCGC, Mobil Bekas Toyota Fortuner Cuma 135 Jutaan, Cek Daftarnya DisiniTranslate post",Positif,1,31,murah harga lcgc mobil bekas toyota fortuner juta cek daftar disinitranslate post
23-Jan,"Dijual bmw e30 th 1990 m40, warna merah, ac dingin, kaki2 nyaman, mesin normal, temperatur aman,.. Minus : - pajak off 2021 - reks steering ( sudah ada rekssteering yg baru, tinggal pasang.)...",Netral,152821,403,jual bmw th warna merah ac dingin kaki nyaman mesin normal temperatur aman minus pajak off reks steering rekssteering tinggal pasang
23-Jan,"Apa pistol (carry) favorit kalian? Mimin pun sebenarnya lebih suka SIG-series seperti P320 atau P229, namun sangat sulit untuk melepas Glock yang satu ini, Glock 19 gen 5 MOS yang optic-ready...",Netral,295393,68,pistol carry favorit mimin suka sigseries p p sulit lepas glock glock gen mos opticready
23-Jan,"Min, kapan yah Isuzu sama Mitsubishi bikin minibus sendiri kayak Hiace. Kan skrg udah pada punya mesin 2500cc Euro 4 semua. Skrg udah gak ada larangan pabrikan bikin body sendiri, gak usah...",Netral,61019,3561,min isuzu mitsubishi minibus kayak hiace skrg udah mesin cc euro skrg udah gak larang pabrikan body gak
23-Jan,Abadikanlah sebelum spesies MITSUBISHI BM meghilang WARGA BARU PT. Warga Baru Express EKONOMI (Non AC) Pagaden - Kampung Rambutan via. Pamanukan(pp) 145 (T 7574 DC) Body : (UNKNOW) by. Karoseri...,Netral,682,202,abadi spesies mitsubishi bm meghilang warga pt warga express ekonomi non ac pagaden kampung rambutan via pamanukanpp dc body unknow by karoseri
23-Jan,Baru saja mengirim foto @ Daihatsu Rangkasbitung Lebak Banten - Yan wijaya 087772111782 https://instagram.com/p/CngAYqbyJIR/?igshid=YTgzYjQ4ZTY=…Translate post,Netral,43,173,kirim foto daihatsu rangkasbitung lebak banten yan wijaya post
23-Jan,"""Battleship Island” yang juga dikenali sebagai Gunkanjima atau ""Pulau Kapal Perang"" yang terletak di Pulau Hashima dibeli oleh Kumpulan Mitsubishi pada tahun 1890 semasa revolusi perindustrian...",Netral,72356,0,battleship island nali gunkanjima pulau kapal perang letak pulau hashima beli kumpul mitsubishi revolusi industri
23-Jan,"Hadir Honda Amaze 2023 100 Jutaan si Brio Versi Sedan, Canggih Super Irit Baca selanjutnya di https://strategi.id/diatasroda/pr-1046968067/hadir-honda-amaze-2023-100-jutaan-si-brio-versi-sedan-cang...",Positif,145,180,hadir honda amaze juta brio versi sedan canggih super irit baca
23-Jan,Inilah dia skuad Indonesia di Daihatsu Indonesia Masters 2023. Ayo dukung perjuangan mereka! ???? #DIM2023Translate post,Positif,1533503,209,skuad indonesia daihatsu indonesia masters ayo dukung juang dimtranslate post
23-Jan,nonton bulutangkis indonesia daihatsu indonesia master 2023 (bwf super 500) selasa minggu 24/29 januari 2023 di istora gelora bung karno tanah abang jakarta pusat live hanya di tv gratis mnc...,Netral,464,18,nonton bulutangkis indonesia daihatsu indonesia master bwf super selasa minggu januari istora gelora karno tanah abang jakarta pusat live tv gratis mnc
23-Jan,WTS Tiket Daihatsu Indonesia Master 2023 DAY 3 Bantu temen yg gajadi nonton karena suaminya gabisa cuti.. 2 tiket DAY 3 (regular) Harga beli 350k (2 tiket) NEGO ALUS yg minat & serius dm yaaaaa...,Netral,339,209,wts tiket daihatsu indonesia master day bantu temen gajadi nonton suami gabisa cuti tiket day regular harga beli tiket nego alus minat serius dm yaaaaa
23-Jan,Mau lebih nyaman? Bisa Add-On Xtra Carry On mulai Rp80ribu!? Kami tunggu kamu di penerbangan selanjutnya ya! ? #airasiaindonesia #promoairasiaTranslate post,Positif,3999568,3,nyaman addon xtra carry on rpribu tunggu terbang airasiaindonesia promoairasiatranslate post
23-Jan,Toyota Corolla Veteran (Corvet) Th 77 . Yg serius silahkan di cek unitnya. Warna Hijau plat B Mobil siap nongkrong Transmisi Manual Pajak Panjang On 07-2023 - 07-2027 AN Pribadi Mobilnya BPKB...,Positif,155208,401,toyota corolla veteran corvet th serius silah cek unit warna hijau plat mobil nongkrong transmisi manual pajak on pribadi mobil bpkb
23-Jan,Babak 32 besar Daihatsu Indonesia Masters 2023 berlanjut besok mulai pukul 08.00 WIB. Ini jadwal wakil-wakil Indonesia! Ayo semangat lagi! ???? #DIM2023Translate post,Positif,1530916,209,babak daihatsu indonesia masters lanjut besok wib jadwal wakilwakil indonesia ayo semangat dimtranslate post
23-Jan,#SPOTV #IndonesiaMasters2023,Netral,287,695,spotv indonesiamasters
23-Jan,Toyota Way dan Tesla Way adalah dua cara berbeda dalam mengelola perusahaan yang digunakan oleh Toyota dan Tesla. Kedua cara ini memiliki beberapa kemiripan dan perbedaan yang signifikanTranslate post,Netral,2642,3923,toyota tesla beda kelola usaha toyota tesla milik mirip beda signifikantranslate post
23-Jan,"Sahabat, yuk ikutan Giveaway bareng Daimin ? Jawab benda yang harus muncul dari atas ke bawah dan dapatkan tiket masuk Daihatsu Indonesia Masters hari ke-3 ? Caranya gampang banget: 1....",Netral,234572,10936,sahabat ikut giveaway bareng daimin benda muncul dapat tiket masuk daihatsu indonesia masters gampang
24-Feb,"Baru jadi ketua KPPS aja tendanya udah kaya wedding, gimana nikahan nanti ? High Quality single, adek kandung, umur 26 tahun. Siap nikah wkwkwk #KPPS #Pemilu #Pemilu2024AmanDamai #Pemilu2024",Negatif,,,ketua kpps tenda udah kaya wedding gimana nikah high quality single adek kandung umur nikah kpps milu pemiluamandamai milu
23-Jan,"Harga AK-47 setara dengan Honda CRV baru! ""Senapan di Amerika Serikat itu murah min, semua orang bisa beli, apalagi AK-47,"" ialah kata-kata yang sering mimin dengar. Coba kalian lihat harga...",Negatif,295869,68,harga tara honda crv senapan amerika serikat murah min orang beli katakata mimin dengar coba lihat harga
23-Jan,Armada perintis saat Po. MARITA baru berdiri tahun 2004 & nama Bis masih berupa Perusahaan Otobus / PO belum jadi Perusahaan Terbuka / PT Dulu cuman punya 10 Bis dengan sasis HYUNDAI MIGHTY...,Netral,685,202,armada rintis po marita diri nama bis usaha otobus po usaha buka pt cuman bis sasis hyundai mighty
23-Jan,Sosok pria nyentrik ini dikenal sebagai Pakde Bei Budiono. Ia merupakan kolektor dari mobil Mazda klasik tipe B600. Dirinya mengoleksi mobil Mazda klasik tersebut sejak tahun 2000-an.Translate post,Netral,42451,0,sosok pria nyentrik kenal pakde bei budiono kolektor mobil mazda klasik tipe koleksi mobil mazda klasik antranslate post
23-Jan,"#Thread Perilaku pengendara mobil Audi A8 merenggut nyawa Selvi Amalia Nuraeni. Mahasiswi Universitas Suryakencana, Cianjur, ini ditabrak saat mengendarai sepeda motor. Berikut 7 fakta tewasnya...",Negatif,22015161,42,thread perilaku kendara mobil audi a renggut nyawa selvi amalia nuraeni mahasiswi universitas suryakencana cianjur tabrak kendara sepeda motor fakta tewas
23-Jan,"26 Jan 2023 ... RT @kompascom: Tim khusus Polres Cianjur, Jawa Barat, hingga saat ini masih mengejar pengendara mobil Audi A8 yang diduga menabrak mahasisw…",Negatif,,,jan kompascom tim khusus polres cianjur jawa barat kejar kendara mobil audi a duga tabrak mahasisw
23-Jan,"Anggota polisi pakai Audi A8 ? , harganya 2,95M...Mohon diusut tuntas, pak @ListyoSigitPTranslate post",Negatif,4544,1964,anggota polisi pakai audi a harga mmohon usut tuntas listyosigitptranslate post
23-Jan,LEO/DANIEL TUTUP DAIHATSU INDONESIA MASTERS 2023 DENGAN KEMENANGAN!!! INDONESIA RAIH DUA GELAR!!! ???? #DIM2023Translate post,Positif,1530140,209,leodaniel tutup daihatsu indonesia masters menang indonesia raih gelar dimtranslate post
23-Jan,"Terima kasih coach Irwansyah, Harry Hartono, Herry Iman Pierngadi dan Aryono Miranat. Mereka sukses membawa anak-anak asuhnya meraih gelar dari Daihatsu Indonesia Masters 2023. Pencapaian yang...",Positif,1533237,209,terima kasih coach irwansyah harry hartono herry iman pierngadi aryono miranat sukses bawa anakanak asuh raih gelar daihatsu indonesia masters capai
23-Jan,"Wtb 3 tiket daihatsu master 2023. Hari ini, kalau ada aku mau langsung COD!!Translate post",Netral,276,228,wtb tiket daihatsu master langsung codtranslate post
23-Jan,teume! Ges ada yang liat gantungan boneka bagcharm truz ensky matetsu ini di sekitaran istora senayan gak ya? hari ini final DIM 2023 (daihatsu master 2023). kalau ada yang ketemu boleh banget...,Netral,381430,2043,teume liat gantung boneka bagcharm truz ensky matetsu sekitar istora senayan gak final dim daihatsu master ketemu
24-Apr,29 Jan 2023 ... Jan 28. LEO/DANIEL SUKSES PERTAHANKAN GELAR JUARA DAIHATSU INDONESIA MASTERS!!! Mereka menjadi kampiun setelah mengalahkan Kim/Anders dari Denmark dengan ...,Positif,,,jan jan leodaniel sukses tahan gelar juara daihatsu indonesia masters kampiun kalah kimanders denmark
23-Jan,Toyota kijang kf20 tahun 1983. Karoseri astra. AC dingin. Powersteering. Body mulus. Interior bagus. Mesin sehat. Surat lengkap. Pajak off 2x. Selebihnya cek di lokasiiiiiiiiii Wa 081314422213Trans...,Netral,154352,403,toyota kijang kf karoseri astra ac dingin powersteering body mulus interior bagus mesin sehat surat lengkap pajak off lebih cek lokasiiiiiiiiii wa trans
23-Jan,lah ketawa?? pdhl beliau nih punya kuasa kan? bukannya harusnya malu ya? eh malu? lupa euy tinggal di Indonesia kita ya ??,Negatif,,,ketawa pdhl beliau kuasa malu malu lupa tinggal indonesia
23-Jan,H,Netral,,,netral
23-Feb,1 Feb 2023 ... - polisi punya istri kedua - naik Audi A8 (harga 2.9 M) - masuk iring rombongan yg katanya urusan dinas - nabrak mahasiswi sampe meninggal - nutup-nutupin ...,Negatif,,,feb polisi istri audi a harga masuk iring rombong urus dinas nabrak mahasiswi sampe tinggal nutupnutupin
23-Feb,D jual - Mazda R HB 2010 - Transmisi Automatic - pajak idup - Km ' 135 rb - Kaki empuk - Mesin rasa baru - Harga = 100 juta ( bisa nego ) (Lokasi Tangsel)Translate post,Netral,292,210,jual mazda hb transmisi automatic pajak idup km rb kaki empuk mesin harga juta nego lokasi tangseltranslate post
23-Feb,Gaji kecil dibiarkan Harta banyak disalahkanTranslate post,Negatif,11347,815,gaji biar harta disalahkantranslate post
23-Feb,#Thread Mobil Toyota Camry pelat merah dengan nomor polisi BH 1842 Z mengalami kecelakaan tunggal di depan RS Siloam Jambi. Satu dari tiga penumpang mobil itu diketahui wanita tanpa busana....,Negatif,21959372,42,thread mobil toyota camry pelat merah nomor polisi bh z alami celaka tunggal rs siloam jambi tumpang mobil wanita busana
23-Feb,"Halo Honda Lovers Yuk dapatkan mobil Honda impianmu sekarang, karena ada banyak diskon untuk unit tahun rakitan 2022. Untuk penawaran spesial dan info lainnya, segera hubungi *FEBBY AYU* di...",Positif,21,50,halo honda lovers dapat mobil honda impi diskon unit rakit tawar spesial info hubung febby ayu
23-Feb,"Beberapa hari ini warganet ramai membicarakan jalur lingkar luar MRT Jakarta @mrtjakarta yang tengah distudi PT MRTJ, Korea Selatan (Hyundai Rotem), dan Pemprov DKI. Dari fase 4 Fatmawati -...",Netral,28129,230,warganet ramai bicara jalur lingkar mrt jakarta mrtjakarta studi pt mrtj korea selatan hyundai rotem pemprov dki fase fatmawati
23-Feb,Dijual BMW E36 318i M43 1996 manual warna asli Merah Ferari dari lahir Nopol AB Pajak Off 2021 kaleng 2022 Mesin M43 4silinder Bandel sehat halus/temperatur aman Kaki2 nyaman AC dingin jok...,Positif,154282,403,jual bmw manual warna asli merah ferari lahir nopol ab pajak off kaleng mesin silinder bandel sehat halustemperatur aman kaki nyaman ac dingin jok
23-Feb,"Mazda Familia 1998 warna langka 52jt nego - Pajak ON - Surat surat lengkap (bpkb, stnk, faktur, manual book, buku serivce, kunci 2) - Body muluss warna rare (ungu sesuai faktur) - Mesin sehat...",Positif,155025,402,mazda familia warna langka jt nego pajak on surat surat lengkap bpkb stnk faktur manual book buku serivce kunci body muluss warna rare ungu sesuai faktur mesin sehat
23-Feb,"Mazda Familia 1998 warna rare! 52jt nego Pajak ON Surat surat lengkap (bpkb, stnk, faktur, manual book, buku serivce, kunci 2) Body muluss warna rare (ungu sesuai faktur) Mesin sehat kering...",Netral,155088,401,mazda familia warna rare jt nego pajak on surat surat lengkap bpkb stnk faktur manual book buku serivce kunci body muluss warna rare ungu sesuai faktur mesin sehat kering
23-Feb,"5 Feb 2023 ... Temukan Kejanggalan Sopir Audi Bingung Mobil dan Pelat Diganti, Berbeda dengan Milik Atasannya Nur... Sugeng menyatakan mobil yang dikendarainya adalah Audi A8, ...",Negatif,,,feb temu janggal sopir audi bingung mobil pelat ganti beda milik atas nur sugeng mobil kendara audi a
23-Feb,[TRANS] ? 060223 OP : jihoon liat ini deh~ ? : (bmw) s1000r keren deh asli motor impian ? @treasuremembers,Positif,241325,10,trans op jihoon liat bmw sr keren asli motor impi treasuremembers
23-Feb,Tandas kedai makan mesti bertaraf BMW kalau nak perbaharui lesen. Apa BMW? tengok video ni. #malaysiamadani #nediamadani Join group: https://chat.whatsapp.com/KzgAZ5z3ZrN8TRscwnOAMZ…Translate post,Negatif,100380,147,kedai makan mesti taraf bmw baharu lesen bmw tengok video malaysiamadani nediamadani join group post
23-Feb,BMW E46 325i (M54) 2001 Low km http://74.xxx Pajak jalan Interior ekterior terawat Kondisi istimewa siap pakai Surat lengkap dan aman Kelistrikan aman dan normal Mesin sehat dan service rutin...,Netral,155165,401,bmw low km pajak jalan interior ekterior awat kondisi istimewa pakai surat lengkap aman listrik aman normal mesin sehat service rutin
23-Feb,Toyota Corolla DX 1983 Plat Bandar Lampung Pajak On Surat lengkap Mesin kering no rembes Ban tebal sudah central lock Jok baru plafon Karpet dasar masih bagus RPM & thermo & km/h on semua lampu...,Positif,155227,402,toyota corolla dx plat bandar lampung pajak on surat lengkap mesin kering no rembes ban tebal central lock jok plafon karpet dasar bagus rpm thermo kmh on lampu
23-Feb,Saya menjual Bullbar Mobil Mitsubishi Tr... seharga Rp. Dapatkan di Shopee sekarang! https://shopee.co.id/kaisar_auto_sport/21472891490… #ShopeeIDTranslate post,Netral,9,128,jual bullbar mobil mitsubishi tr harga rp dapat shopee shopeeidtranslate post
23-Feb,Baru saja mengirim foto @ Mitsubishi Cirebon https://instagram.com/p/Codf7TjBY5A/?igshid=YTgzYjQ4ZTY=…,Netral,21,347,kirim foto mitsubishi cirebon
23-Feb,"Serupa Tapi Tak Sama, Ini Perbedaan Mencolok Toyota Avanza dan Daihatsu Xenia! Kamu Wajib Tahu https://palopoleaks.com/tekno/pr-6067448269/serupa-tapi-tak-sama-ini-perbedaan-mencolok-toyota-avanza-...",Netral,5,233,beda colok toyota avanza daihatsu xenia wajib
23-Feb,"Halo Sahabat Daihatsu! Ada kabar bahagia nih, Daimin mau kasih kesempatan buat kamu yang sedang ngembangin bisnis UMKM kamu dengan ikutan ""Daihatsu Sahabat UMKM"" berkolaborasi dengan @ukmindonesiai...",Positif,423,444,halo sahabat daihatsu kabar bahagia daimin kasih sempat ngembangin bisnis umkm ikut daihatsu sahabat umkm kolaborasi ukmindonesiai
23-Feb,tebak jurus https://tokopedia.link/iDSL9xramxbTranslate post,Netral,165807,1660,tebak jurus post
23-Feb,"Hyundai Santa Fe Diesel, irit, kencang, 7 seater, banyak fitur dan lebih nyaman. Anggap aja beli suv jerman tapi buatan korea. Kalau udah coba ini biasanya ogah balik ke suv diesel ladder frame...",Positif,195275,664,hyundai santa fe diesel irit kencang seater fitur nyaman anggap beli suv jerman buat korea udah coba ogah suv diesel ladder frame
23-Aug,Surviving Sepsis Campaign: International Guidelines for... : Critical Care Medicine,Netral,,,surviving sepsis campaign international guidelines for critical care medicine
23-Feb,"Dijual bmw e34 m50b20 th 1993 520i manual transmission, warna silver, kondisi terawat, antik, orisinil, interior hitam, ac dingin, mesin halus kering, tidak ada bocor oli, dongkrak masih asli,...",Positif,155233,402,jual bmw mb th manual transmission warna silver kondisi awat antik orisinil interior hitam ac dingin mesin halus kering bocor oli dongkrak asli
23-Feb,"Toyota dan Mitsubishi kayaknya malah senang dgn predikat itu, jadi org pada ingin jadi superior di jalan shg berlomba2 beli fortuner atau pajero. ?Translate post",Positif,440,602,toyota mitsubishi kayak senang predikat superior jalan shg lomba beli fortuner pajero translate post
23-Feb,"Saksikan Indonesia Bersatu Selasa, 14 Februari 2022, pukul 19.30 WIB live di tvOne & live streaming di http://tvonenews.com/live Acara ini dipersembahkan oleh: PT. Sukun Wartono Indonesia dan...",Netral,9877917,50,saksi indonesia satu selasa februari wib live tvone live streaming acara sembah pt sukun wartono indonesia
23-Feb,Baru saja mengirim foto,Netral,,,kirim foto
23-Feb,"Penumpang Honda Brio inisial H (34) menceritakan momen mencekam saat sopir Fortuner, Giorgio Ramadhan (24), mengamuk memakai senjata replika di Senopati. H mengaku syok atas aksi Giorgio. Diceritak...",Negatif,22010035,42,tumpang honda brio inisial cerita momen cekam sopir fortuner giorgio ramadhan amuk pakai senjata replika senopati aku syok aksi giorgio diceritak
23-Feb,Wuling jualan Air Ev di negara kita yang ga mau punya anak kena nyinyir aja udh slah bngt.Translate post,Negatif,245,326,wuling jual air ev negara ga anak kena nyinyir udh slah bngttranslate post
23-Feb,"Semangat Indonesia Bersatu! Selasa, 14 Februari 2023, jam 19.30 WIB live di tvOne & live streaming di http://tvonenews.com/live Acara ini dipersembahkan oleh: PT. Sukun Wartono Indonesia dan...",Positif,9876015,50,semangat indonesia satu selasa februari jam wib live tvone live streaming acara sembah pt sukun wartono indonesia
